Initial Stats:
Initial distribution of soil types: {'desert': 7001, 'steppe': 1199, 'field': 900, 'forest': 900}
Total initial grass: 100000
Tick, Total cows, Average Age, Total Grass
247, 11745, 26, 192547
248, 11854, 26, 190164
249, 11946, 26, 193996
250, 11965, 26, 194440
251, 11969, 26, 191050
252, 11968, 26, 191783
253, 11899, 26, 193357
254, 11900, 26, 191148
255, 11891, 26, 192521
256, 11891, 26, 190984
257, 11845, 26, 192055
258, 11861, 26, 191263
259, 11802, 26, 192240
260, 11734, 26, 190356
261, 11641, 26, 192541
262, 11547, 26, 190838
263, 11510, 26, 191598
264, 11460, 26, 189884
265, 11446, 26, 192690
266, 11409, 26, 189989
267, 11356, 26, 191503
268, 11316, 26, 190651
269, 11255, 26, 192281
270, 11222, 26, 190373
271, 11156, 26, 191709
272, 11139, 26, 190058
273, 11075, 26, 192576
274, 11000, 26, 189974
275, 11104, 26, 187616
276, 11107, 27, 189271
277, 11109, 27, 192962
278, 11139, 27, 189385
279, 11138, 27, 192154
280, 11132, 27, 190234
281, 11126, 28, 191713
282, 11098, 28, 189143
283, 11081, 28, 191674
284, 11089, 28, 189999
285, 11096, 29, 192241
286, 11143, 29, 189124
287, 11173, 29, 192036
288, 11189, 29, 190701
289, 11218, 29, 191952
290, 11246, 29, 189008
291, 11275, 29, 192639
292, 11260, 29, 190133
293, 11255, 30, 192567
294, 11256, 30, 188867
295, 11298, 30, 192719
296, 11326, 30, 190351
297, 11346, 30, 192233
298, 11380, 30, 189397
299, 11346, 30, 191852
300, 11426, 30, 182907
301, 11472, 31, 186905
302, 11548, 31, 185636
303, 11612, 31, 180818
304, 11688, 31, 183533
305, 11766, 31, 183467
306, 11822, 31, 180719
307, 11909, 31, 182209
308, 11987, 32, 181907
309, 12058, 32, 179831
310, 12104, 32, 180393
311, 12185, 32, 181532
312, 12256, 32, 180391
313, 12318, 32, 180718
314, 12404, 32, 180651
315, 12457, 32, 179598
316, 12569, 32, 180108
317, 12664, 32, 180734
318, 12755, 32, 180383
319, 12802, 32, 180401
320, 12837, 32, 180297
321, 12875, 32, 179293
322, 12946, 32, 179652
323, 13023, 32, 179821
324, 13033, 32, 179056
325, 12855, 32, 190324
326, 12759, 31, 189411
327, 12678, 31, 193608
328, 12613, 31, 190154
329, 12560, 31, 194810
330, 12506, 31, 188736
331, 12457, 31, 191382
332, 12404, 31, 187283
333, 12299, 30, 192432
334, 12280, 30, 187958
335, 12201, 30, 191852
336, 12163, 30, 187886
337, 12110, 30, 192657
338, 12113, 30, 186933
339, 12073, 29, 191315
340, 12021, 29, 186979
341, 11979, 29, 191731
342, 11954, 29, 187062
343, 11900, 29, 190875
344, 11865, 29, 186804
345, 11817, 29, 190343
346, 11739, 29, 187772
347, 11698, 29, 190780
348, 11672, 29, 186752
349, 11687, 29, 191709
350, 11589, 29, 190137
351, 11406, 29, 189986
352, 11288, 29, 188451
353, 11161, 29, 189733
354, 11061, 29, 187487
355, 10931, 29, 190359
356, 10787, 29, 187872
357, 10629, 28, 189998
358, 10548, 28, 187570
359, 10444, 28, 189309
360, 10321, 28, 187214
361, 10169, 28, 189864
362, 10001, 28, 186946
363, 9932, 29, 188777
364, 9817, 29, 187366
365, 9656, 29, 189137
366, 9547, 29, 186684
367, 9424, 29, 189271
368, 9336, 29, 187706
369, 9218, 29, 189557
370, 9090, 29, 187226
371, 9010, 29, 188329
372, 8894, 29, 187978
373, 8812, 29, 188645
374, 8715, 29, 188214
375, 8718, 30, 185695
376, 8694, 30, 185651
377, 8684, 30, 188512
378, 8695, 30, 186037
379, 8672, 31, 188334
380, 8669, 31, 186951
381, 8655, 31, 188765
382, 8652, 31, 185777
383, 8629, 31, 187573
384, 8622, 31, 185836
385, 8568, 31, 187787
386, 8562, 32, 185585
387, 8558, 32, 187657
388, 8556, 32, 186119
389, 8563, 32, 188117
390, 8538, 32, 186944
391, 8529, 32, 187432
392, 8562, 32, 185688
393, 8557, 33, 188027
394, 8524, 33, 185721
395, 8499, 33, 187007
396, 8490, 33, 186288
397, 8467, 33, 187250
398, 8471, 33, 185317
399, 8416, 33, 186996
400, 8476, 33, 177602
401, 8523, 33, 179860
402, 8542, 33, 176942
403, 8597, 33, 174604
404, 8647, 33, 173743
405, 8684, 33, 173928
406, 8767, 33, 172351
407, 8794, 33, 172279
408, 8827, 33, 171980
409, 8831, 33, 171109
410, 8885, 33, 170779
411, 8912, 33, 171031
412, 8948, 33, 170009
413, 8974, 33, 171020
414, 8998, 33, 170758
415, 9029, 33, 170424
416, 9065, 33, 170807
417, 9124, 33, 170330
418, 9159, 32, 169923
419, 9204, 32, 169763
420, 9271, 32, 169291
421, 9328, 32, 170120
422, 9393, 32, 169543
423, 9475, 32, 169476
424, 9563, 31, 169538
425, 9569, 31, 179482
426, 9554, 31, 180912
427, 9501, 30, 187282
428, 9481, 30, 183956
429, 9447, 30, 188537
430, 9464, 30, 185581
431, 9467, 30, 185950
432, 9471, 30, 182520
433, 9444, 30, 184850
434, 9454, 30, 182804
435, 9483, 30, 184907
436, 9513, 30, 182205
437, 9526, 30, 184536
438, 9569, 30, 181886
439, 9607, 29, 184453
440, 9626, 29, 182197
441, 9693, 29, 183274
442, 9721, 29, 182680
443, 9778, 29, 183402
444, 9828, 29, 181551
445, 9913, 29, 183183
446, 9960, 29, 181131
447, 9992, 29, 182362
448, 10045, 29, 181406
449, 10081, 29, 183116
450, 10039, 29, 185489
451, 9982, 29, 182379
452, 9926, 29, 183387
453, 9880, 29, 182141
454, 9826, 29, 182987
455, 9781, 29, 182108
456, 9742, 29, 183275
457, 9691, 29, 181720
458, 9653, 29, 182955
459, 9612, 29, 182315
460, 9598, 29, 182249
461, 9559, 29, 182761
462, 9544, 29, 182689
463, 9534, 29, 181991
464, 9537, 29, 182293
465, 9553, 28, 182680
466, 9542, 28, 182245
467, 9505, 28, 182393
468, 9516, 28, 182577
469, 9491, 28, 181754
470, 9445, 28, 182641
471, 9416, 29, 181907
472, 9348, 29, 181752
473, 9316, 29, 182487
474, 9269, 29, 182337
475, 9263, 29, 178081
476, 9263, 29, 181574
477, 9263, 30, 182342
478, 9268, 30, 180642
479, 9285, 30, 182327
480, 9298, 30, 182199
481, 9338, 30, 183217
482, 9366, 30, 180931
483, 9404, 30, 182110
484, 9468, 30, 181716
485, 9481, 30, 182016
486, 9521, 30, 180242
487, 9541, 30, 181686
488, 9546, 30, 181414
489, 9566, 30, 182297
490, 9573, 30, 181520
491, 9620, 30, 180698
492, 9640, 30, 180241
493, 9649, 30, 181994
494, 9636, 31, 180223
495, 9614, 31, 181641
496, 9604, 31, 180416
497, 9627, 31, 181376
498, 9667, 31, 180758
499, 9672, 31, 181251
500, 9786, 31, 170981
501, 9850, 31, 173887
502, 9940, 31, 171853
503, 10006, 31, 168692
504, 10063, 31, 168588
505, 10132, 31, 168335
506, 10232, 31, 166745
507, 10317, 31, 166129
508, 10375, 31, 165670
509, 10445, 31, 165063
510, 10502, 31, 165267
511, 10586, 31, 164436
512, 10663, 31, 164848
513, 10736, 31, 165030
514, 10799, 31, 164549
515, 10885, 31, 163019
516, 10983, 31, 163412
517, 11068, 31, 164397
518, 11133, 31, 163999
519, 11177, 30, 163642
520, 11228, 31, 163506
521, 11298, 31, 164318
522, 11371, 30, 163137
523, 11465, 30, 162496
524, 11574, 30, 163596
525, 11516, 30, 174889
526, 11521, 30, 174894
527, 11507, 30, 181623
528, 11504, 30, 178038
529, 11494, 30, 182306
530, 11559, 30, 178670
531, 11564, 29, 179469
532, 11604, 29, 176854
533, 11620, 29, 180784
534, 11668, 29, 177169
535, 11685, 29, 178840
536, 11746, 29, 176330
537, 11737, 29, 178781
538, 11749, 29, 177189
539, 11753, 29, 178933
540, 11754, 29, 176408
541, 11786, 29, 178334
542, 11794, 29, 176623
543, 11839, 29, 178693
544, 11860, 29, 175486
545, 11888, 29, 178678
546, 11916, 29, 175717
547, 11943, 29, 178202
548, 11943, 29, 176900
549, 11965, 29, 178423
550, 11923, 29, 179760
551, 11860, 29, 176146
552, 11823, 29, 178071
553, 11764, 29, 176779
554, 11675, 29, 177731
555, 11650, 29, 176900
556, 11664, 29, 176891
557, 11596, 29, 176444
558, 11499, 29, 177238
559, 11450, 29, 176683
560, 11388, 29, 177633
561, 11318, 29, 177118
562, 11232, 29, 177691
563, 11159, 29, 177339
564, 11083, 29, 177070
565, 11055, 29, 177872
566, 11019, 29, 177698
567, 10945, 29, 177507
568, 10930, 29, 177308
569, 10881, 29, 178000
570, 10817, 29, 178579
571, 10773, 29, 177132
572, 10728, 29, 178167
573, 10648, 29, 177505
574, 10576, 30, 177833
575, 10567, 30, 173582
576, 10550, 30, 178775
577, 10541, 30, 178887
578, 10517, 30, 177710
579, 10502, 30, 178795
580, 10529, 30, 178419
581, 10562, 30, 178449
582, 10567, 31, 178478
583, 10563, 31, 178954
584, 10599, 31, 177944
585, 10635, 31, 178693
586, 10668, 31, 178477
587, 10688, 31, 178094
588, 10731, 31, 177037
589, 10722, 31, 179241
590, 10703, 32, 177967
591, 10696, 32, 179088
592, 10685, 32, 179166
593, 10688, 32, 179171
594, 10722, 32, 178543
595, 10710, 32, 179988
596, 10699, 32, 178632
597, 10679, 32, 179116
598, 10641, 32, 177921
599, 10648, 32, 179356
600, 10721, 32, 168102
601, 10773, 32, 170921
602, 10817, 32, 170783
603, 10855, 32, 167240
604, 10895, 32, 166732
605, 10941, 32, 166084
606, 11007, 32, 165720
607, 11066, 32, 166117
608, 11124, 32, 166045
609, 11190, 32, 165831
610, 11181, 32, 165607
611, 11174, 32, 165155
612, 11225, 32, 164161
613, 11313, 32, 165144
614, 11352, 32, 164845
615, 11411, 32, 164655
616, 11485, 32, 163569
617, 11551, 32, 164466
618, 11606, 32, 164326
619, 11667, 31, 164496
620, 11737, 31, 164108
621, 11792, 31, 165236
622, 11824, 31, 164752
623, 11860, 31, 164136
624, 11890, 31, 163366
625, 11860, 31, 176515
626, 11810, 31, 175757
627, 11753, 31, 183281
628, 11696, 31, 178424
629, 11700, 30, 181761
630, 11715, 30, 179987
631, 11694, 30, 180028
632, 11705, 30, 177033
633, 11725, 30, 179962
634, 11714, 30, 177399
635, 11716, 30, 178999
636, 11732, 30, 178373
637, 11700, 30, 180754
638, 11684, 30, 177198
639, 11678, 30, 180258
640, 11676, 30, 177640
641, 11653, 29, 179409
642, 11649, 29, 177597
643, 11612, 29, 179909
644, 11629, 30, 178217
645, 11620, 29, 180242
646, 11651, 29, 176725
647, 11661, 30, 180523
648, 11678, 30, 177925
649, 11692, 29, 180320
650, 11625, 29, 181482
651, 11541, 29, 178357
652, 11476, 29, 179284
653, 11408, 29, 178302
654, 11299, 29, 178704
655, 11215, 29, 178618
656, 11119, 29, 179522
657, 11000, 29, 177650
658, 10895, 29, 179223
659, 10811, 29, 179351
660, 10731, 29, 178787
661, 10664, 29, 178482
662, 10561, 30, 179046
663, 10504, 30, 179135
664, 10386, 30, 179097
665, 10298, 30, 179054
666, 10256, 30, 179136
667, 10176, 30, 179686
668, 10111, 30, 178969
669, 10058, 30, 180308
670, 9954, 30, 179695
671, 9854, 30, 179580
672, 9780, 30, 179913
673, 9739, 30, 179799
674, 9659, 30, 179760
675, 9672, 31, 176713
676, 9667, 31, 179216
